2128694299	442	1
2118906894	442	1
1486625395	442	1
1970670496	442	1
2949427527	442	1
2118162338	442	1
2004561367	442	1
2125130311	442	1
2005399275	442	1
2163425237	442	1
2121157266	442	1
1980500731	442	1
2538088707	442	1
2034983734	442	1
2164580330	442	1
2086933649	442	1
2118906894	442	1
2101618469	442	1
2084536471	442	1
2343427792	442	1
2125263731	442	1
51895549	442	1
2790821858	442	1
2079779136	442	1
2021145435	442	1
2158416800	443	1
2004561367	443	1
2164580330	443	1
2121157266	443	1
1980500731	443	1
2101618469	443	1
2163425237	443	1
2538088707	443	1
2118906894	443	1
2343427792	443	1
